food_name,calories,protein,fat,carbohydrate
apel,52,0.3,0.2,14.0
ayam_goreng,260,27.0,14.0,8.0
bayam,23,2.9,0.4,3.6
brokoli,34,2.8,0.4,7.0
burger,295,17.0,12.0,30.0
daging,250,26.0,15.0,0.0
french_fries,312,3.4,15.0,41.0
ikan_goreng,250,20.0,15.0,5.0
jagung,96,3.4,1.5,21.0
jeruk,47,0.9,0.1,12.0
mangga,60,0.8,0.4,15.0
nasi,175,3.2,0.3,40.0
pisang,89,1.1,0.3,23.0
roti,265,9.0,3.2,49.0
soto,128,4.0,10.0,8.0
susu,61,3.2,3.3,5.0
tahu,76,8.0,4.8,1.9
telur,155,13.0,11.0,1.1
tempe,193,20.0,11.0,8.0
udang,99,24.0,0.3,0.2
