Kecamatan,BP,Periode,Periode_Idx,PD_Total,Tanggal
Binawidya,SD,2019-2020 Ganjil,0,7863,2019-07-01
Binawidya,SD,2019-2020 Genap,1,7259,2020-01-01
Binawidya,SD,2020-2021 Ganjil,2,8179,2020-07-01
Binawidya,SD,2020-2021 Genap,3,6816,2021-01-01
Binawidya,SD,2021-2022 Ganjil,4,8255,2021-07-01
Binawidya,SD,2021-2022 Genap,5,8226,2022-01-01
Binawidya,SD,2022-2023 Ganjil,6,25476,2022-07-01
Binawidya,SD,2022-2023 Genap,7,24364,2023-01-01
Binawidya,SD,2023-2024 Ganjil,8,7838,2023-07-01
Binawidya,SD,2023-2024 Genap,9,8133,2024-01-01
Binawidya,SD,2024-2025 Ganjil,10,8241,2024-07-01
Binawidya,SD,2024-2025 Genap,11,8212,2025-01-01
Binawidya,SD,2025-2026 Ganjil,12,8522,2025-07-01
Binawidya,SD,2025-2026 Genap,13,8531,2026-01-01
Bukit Raya,SD,2019-2020 Ganjil,0,11332,2019-07-01
Bukit Raya,SD,2019-2020 Genap,1,11309,2020-01-01
Bukit Raya,SD,2020-2021 Ganjil,2,10270,2020-07-01
Bukit Raya,SD,2020-2021 Genap,3,9241,2021-01-01
Bukit Raya,SD,2021-2022 Ganjil,4,10881,2021-07-01
Bukit Raya,SD,2021-2022 Genap,5,10804,2022-01-01
Bukit Raya,SD,2022-2023 Ganjil,6,9740,2022-07-01
Bukit Raya,SD,2022-2023 Genap,7,9688,2023-01-01
Bukit Raya,SD,2023-2024 Ganjil,8,9636,2023-07-01
Bukit Raya,SD,2023-2024 Genap,9,9614,2024-01-01
Bukit Raya,SD,2024-2025 Ganjil,10,9519,2024-07-01
Bukit Raya,SD,2024-2025 Genap,11,9491,2025-01-01
Bukit Raya,SD,2025-2026 Ganjil,12,9510,2025-07-01
Bukit Raya,SD,2025-2026 Genap,13,9478,2026-01-01
Kulim,SD,2019-2020 Ganjil,0,4431,2019-07-01
Kulim,SD,2019-2020 Genap,1,4437,2020-01-01
Kulim,SD,2020-2021 Ganjil,2,4644,2020-07-01
Kulim,SD,2020-2021 Genap,3,3839,2021-01-01
Kulim,SD,2021-2022 Ganjil,4,4586,2021-07-01
Kulim,SD,2021-2022 Genap,5,4547,2022-01-01
Kulim,SD,2023-2024 Ganjil,8,5122,2023-07-01
Kulim,SD,2023-2024 Genap,9,5035,2024-01-01
Kulim,SD,2024-2025 Ganjil,10,5281,2024-07-01
Kulim,SD,2024-2025 Genap,11,4921,2025-01-01
Kulim,SD,2025-2026 Ganjil,12,4933,2025-07-01
Kulim,SD,2025-2026 Genap,13,4921,2026-01-01
Lima Puluh,SD,2019-2020 Ganjil,0,6388,2019-07-01
Lima Puluh,SD,2019-2020 Genap,1,6388,2020-01-01
Lima Puluh,SD,2020-2021 Ganjil,2,6329,2020-07-01
Lima Puluh,SD,2020-2021 Genap,3,5010,2021-01-01
Lima Puluh,SD,2021-2022 Ganjil,4,5973,2021-07-01
Lima Puluh,SD,2021-2022 Genap,5,5990,2022-01-01
Lima Puluh,SD,2022-2023 Ganjil,6,5816,2022-07-01
Lima Puluh,SD,2022-2023 Genap,7,5763,2023-01-01
Lima Puluh,SD,2023-2024 Ganjil,8,5616,2023-07-01
Lima Puluh,SD,2023-2024 Genap,9,5605,2024-01-01
Lima Puluh,SD,2024-2025 Ganjil,10,5451,2024-07-01
Lima Puluh,SD,2024-2025 Genap,11,5412,2025-01-01
Lima Puluh,SD,2025-2026 Ganjil,12,5328,2025-07-01
Lima Puluh,SD,2025-2026 Genap,13,5285,2026-01-01
Marpoyan Damai,SD,2019-2020 Ganjil,0,16089,2019-07-01
Marpoyan Damai,SD,2019-2020 Genap,1,16083,2020-01-01
Marpoyan Damai,SD,2020-2021 Ganjil,2,15884,2020-07-01
Marpoyan Damai,SD,2020-2021 Genap,3,12963,2021-01-01
Marpoyan Damai,SD,2021-2022 Ganjil,4,15381,2021-07-01
Marpoyan Damai,SD,2021-2022 Genap,5,15302,2022-01-01
Marpoyan Damai,SD,2022-2023 Ganjil,6,15337,2022-07-01
Marpoyan Damai,SD,2022-2023 Genap,7,15292,2023-01-01
Marpoyan Damai,SD,2023-2024 Ganjil,8,15522,2023-07-01
Marpoyan Damai,SD,2023-2024 Genap,9,15419,2024-01-01
Marpoyan Damai,SD,2024-2025 Ganjil,10,15279,2024-07-01
Marpoyan Damai,SD,2024-2025 Genap,11,15295,2025-01-01
Marpoyan Damai,SD,2025-2026 Ganjil,12,15169,2025-07-01
Marpoyan Damai,SD,2025-2026 Genap,13,15104,2026-01-01
Payung Sekaki,SD,2019-2020 Ganjil,0,8513,2019-07-01
Payung Sekaki,SD,2019-2020 Genap,1,8504,2020-01-01
Payung Sekaki,SD,2020-2021 Ganjil,2,8260,2020-07-01
Payung Sekaki,SD,2020-2021 Genap,3,7637,2021-01-01
Payung Sekaki,SD,2021-2022 Ganjil,4,8026,2021-07-01
Payung Sekaki,SD,2021-2022 Genap,5,7956,2022-01-01
Payung Sekaki,SD,2022-2023 Ganjil,6,8684,2022-07-01
Payung Sekaki,SD,2022-2023 Genap,7,8159,2023-01-01
Payung Sekaki,SD,2023-2024 Ganjil,8,8222,2023-07-01
Payung Sekaki,SD,2023-2024 Genap,9,7816,2024-01-01
Payung Sekaki,SD,2024-2025 Ganjil,10,7713,2024-07-01
Payung Sekaki,SD,2024-2025 Genap,11,7743,2025-01-01
Payung Sekaki,SD,2025-2026 Ganjil,12,7682,2025-07-01
Payung Sekaki,SD,2025-2026 Genap,13,7674,2026-01-01
Pekanbaru Kota,SD,2019-2020 Ganjil,0,1936,2019-07-01
Pekanbaru Kota,SD,2019-2020 Genap,1,1937,2020-01-01
Pekanbaru Kota,SD,2020-2021 Ganjil,2,1860,2020-07-01
Pekanbaru Kota,SD,2020-2021 Genap,3,2488,2021-01-01
Pekanbaru Kota,SD,2021-2022 Ganjil,4,1752,2021-07-01
Pekanbaru Kota,SD,2021-2022 Genap,5,1735,2022-01-01
Pekanbaru Kota,SD,2022-2023 Ganjil,6,1637,2022-07-01
Pekanbaru Kota,SD,2022-2023 Genap,7,1628,2023-01-01
Pekanbaru Kota,SD,2023-2024 Ganjil,8,1568,2023-07-01
Pekanbaru Kota,SD,2023-2024 Genap,9,1533,2024-01-01
Pekanbaru Kota,SD,2024-2025 Ganjil,10,1522,2024-07-01
Pekanbaru Kota,SD,2024-2025 Genap,11,1515,2025-01-01
Pekanbaru Kota,SD,2025-2026 Ganjil,12,1457,2025-07-01
Pekanbaru Kota,SD,2025-2026 Genap,13,1464,2026-01-01
Rumbai,SD,2019-2020 Ganjil,0,10105,2019-07-01
Rumbai,SD,2019-2020 Genap,1,9991,2020-01-01
Rumbai,SD,2020-2021 Ganjil,2,9929,2020-07-01
Rumbai,SD,2020-2021 Genap,3,8021,2021-01-01
Rumbai,SD,2021-2022 Ganjil,4,9537,2021-07-01
Rumbai,SD,2021-2022 Genap,5,9388,2022-01-01
Rumbai,SD,2022-2023 Ganjil,6,7664,2022-07-01
Rumbai,SD,2022-2023 Genap,7,7743,2023-01-01
Rumbai,SD,2023-2024 Ganjil,8,5116,2023-07-01
Rumbai,SD,2023-2024 Genap,9,9436,2024-01-01
Rumbai,SD,2024-2025 Ganjil,10,9212,2024-07-01
Rumbai,SD,2024-2025 Genap,11,9180,2025-01-01
Rumbai,SD,2025-2026 Ganjil,12,9008,2025-07-01
Rumbai,SD,2025-2026 Genap,13,9010,2026-01-01
Rumbai Barat,SD,2019-2020 Ganjil,0,3198,2019-07-01
Rumbai Barat,SD,2019-2020 Genap,1,3198,2020-01-01
Rumbai Barat,SD,2020-2021 Ganjil,2,3354,2020-07-01
Rumbai Barat,SD,2020-2021 Genap,3,2764,2021-01-01
Rumbai Barat,SD,2021-2022 Ganjil,4,3272,2021-07-01
Rumbai Barat,SD,2021-2022 Genap,5,3280,2022-01-01
Rumbai Barat,SD,2022-2023 Ganjil,6,110,2022-07-01
Rumbai Barat,SD,2022-2023 Genap,7,111,2023-01-01
Rumbai Barat,SD,2023-2024 Ganjil,8,2842,2023-07-01
Rumbai Barat,SD,2023-2024 Genap,9,3439,2024-01-01
Rumbai Barat,SD,2024-2025 Ganjil,10,3512,2024-07-01
Rumbai Barat,SD,2024-2025 Genap,11,3511,2025-01-01
Rumbai Barat,SD,2025-2026 Ganjil,12,3533,2025-07-01
Rumbai Barat,SD,2025-2026 Genap,13,3528,2026-01-01
Rumbai Timur,SD,2019-2020 Ganjil,0,2609,2019-07-01
Rumbai Timur,SD,2019-2020 Genap,1,2601,2020-01-01
