Kecamatan,BP,Periode,Periode_Idx,PD_Total,Tanggal
Binawidya,SLB,2019-2020 Ganjil,0,86,2019-07-01
Binawidya,SLB,2019-2020 Genap,1,86,2020-01-01
Binawidya,SLB,2020-2021 Ganjil,2,89,2020-07-01
Binawidya,SLB,2020-2021 Genap,3,79,2021-01-01
Binawidya,SLB,2021-2022 Ganjil,4,85,2021-07-01
Binawidya,SLB,2021-2022 Genap,5,85,2022-01-01
Binawidya,SLB,2022-2023 Ganjil,6,190,2022-07-01
Binawidya,SLB,2022-2023 Genap,7,191,2023-01-01
Binawidya,SLB,2023-2024 Ganjil,8,199,2023-07-01
Binawidya,SLB,2023-2024 Genap,9,101,2024-01-01
Binawidya,SLB,2024-2025 Ganjil,10,99,2024-07-01
Binawidya,SLB,2024-2025 Genap,11,99,2025-01-01
Binawidya,SLB,2025-2026 Ganjil,12,90,2025-07-01
Binawidya,SLB,2025-2026 Genap,13,90,2026-01-01
Marpoyan Damai,SLB,2019-2020 Ganjil,0,229,2019-07-01
Marpoyan Damai,SLB,2019-2020 Genap,1,227,2020-01-01
Marpoyan Damai,SLB,2020-2021 Ganjil,2,238,2020-07-01
Marpoyan Damai,SLB,2020-2021 Genap,3,173,2021-01-01
Marpoyan Damai,SLB,2021-2022 Ganjil,4,252,2021-07-01
Marpoyan Damai,SLB,2021-2022 Genap,5,261,2022-01-01
Marpoyan Damai,SLB,2022-2023 Ganjil,6,274,2022-07-01
Marpoyan Damai,SLB,2022-2023 Genap,7,272,2023-01-01
Marpoyan Damai,SLB,2023-2024 Ganjil,8,279,2023-07-01
Marpoyan Damai,SLB,2023-2024 Genap,9,282,2024-01-01
Marpoyan Damai,SLB,2024-2025 Ganjil,10,290,2024-07-01
Marpoyan Damai,SLB,2024-2025 Genap,11,290,2025-01-01
Marpoyan Damai,SLB,2025-2026 Ganjil,12,287,2025-07-01
Marpoyan Damai,SLB,2025-2026 Genap,13,288,2026-01-01
Payung Sekaki,SLB,2019-2020 Ganjil,0,26,2019-07-01
Payung Sekaki,SLB,2019-2020 Genap,1,26,2020-01-01
Payung Sekaki,SLB,2020-2021 Ganjil,2,23,2020-07-01
Payung Sekaki,SLB,2020-2021 Genap,3,23,2021-01-01
Payung Sekaki,SLB,2021-2022 Ganjil,4,27,2021-07-01
Payung Sekaki,SLB,2021-2022 Genap,5,27,2022-01-01
Payung Sekaki,SLB,2022-2023 Ganjil,6,33,2022-07-01
Payung Sekaki,SLB,2022-2023 Genap,7,34,2023-01-01
