Kecamatan,BP,Periode,Periode_Idx,PD_Total,Tanggal
Binawidya,SMA,2019-2020 Ganjil,0,116,2019-07-01
Binawidya,SMA,2019-2020 Genap,1,116,2020-01-01
Binawidya,SMA,2020-2021 Ganjil,2,120,2020-07-01
Binawidya,SMA,2020-2021 Genap,3,870,2021-01-01
Binawidya,SMA,2021-2022 Ganjil,4,133,2021-07-01
Binawidya,SMA,2021-2022 Genap,5,137,2022-01-01
Binawidya,SMA,2022-2023 Ganjil,6,2316,2022-07-01
Binawidya,SMA,2022-2023 Genap,7,2313,2023-01-01
Binawidya,SMA,2023-2024 Ganjil,8,2563,2023-07-01
Binawidya,SMA,2023-2024 Genap,9,371,2024-01-01
Binawidya,SMA,2024-2025 Ganjil,10,654,2024-07-01
Binawidya,SMA,2024-2025 Genap,11,651,2025-01-01
Binawidya,SMA,2025-2026 Ganjil,12,1095,2025-07-01
Binawidya,SMA,2025-2026 Genap,13,1083,2026-01-01
Bukit Raya,SMA,2019-2020 Ganjil,0,1719,2019-07-01
Bukit Raya,SMA,2019-2020 Genap,1,1710,2020-01-01
Bukit Raya,SMA,2020-2021 Ganjil,2,1705,2020-07-01
Bukit Raya,SMA,2020-2021 Genap,3,1106,2021-01-01
Bukit Raya,SMA,2021-2022 Ganjil,4,1746,2021-07-01
Bukit Raya,SMA,2021-2022 Genap,5,1750,2022-01-01
Bukit Raya,SMA,2022-2023 Ganjil,6,876,2022-07-01
Bukit Raya,SMA,2022-2023 Genap,7,876,2023-01-01
Bukit Raya,SMA,2023-2024 Ganjil,8,1014,2023-07-01
Bukit Raya,SMA,2023-2024 Genap,9,1020,2024-01-01
Bukit Raya,SMA,2024-2025 Ganjil,10,1179,2024-07-01
Bukit Raya,SMA,2024-2025 Genap,11,1176,2025-01-01
Bukit Raya,SMA,2025-2026 Ganjil,12,1285,2025-07-01
Bukit Raya,SMA,2025-2026 Genap,13,1279,2026-01-01
Lima Puluh,SMA,2019-2020 Ganjil,0,2312,2019-07-01
Lima Puluh,SMA,2019-2020 Genap,1,2323,2020-01-01
Lima Puluh,SMA,2020-2021 Ganjil,2,407,2020-07-01
Lima Puluh,SMA,2020-2021 Genap,3,1626,2021-01-01
Lima Puluh,SMA,2021-2022 Ganjil,4,1397,2021-07-01
Lima Puluh,SMA,2021-2022 Genap,5,1398,2022-01-01
Lima Puluh,SMA,2022-2023 Ganjil,6,444,2022-07-01
Lima Puluh,SMA,2022-2023 Genap,7,444,2023-01-01
Lima Puluh,SMA,2023-2024 Ganjil,8,478,2023-07-01
Lima Puluh,SMA,2023-2024 Genap,9,480,2024-01-01
Lima Puluh,SMA,2024-2025 Ganjil,10,529,2024-07-01
Lima Puluh,SMA,2024-2025 Genap,11,528,2025-01-01
Lima Puluh,SMA,2025-2026 Ganjil,12,522,2025-07-01
Lima Puluh,SMA,2025-2026 Genap,13,525,2026-01-01
Marpoyan Damai,SMA,2019-2020 Ganjil,0,353,2019-07-01
Marpoyan Damai,SMA,2019-2020 Genap,1,350,2020-01-01
Marpoyan Damai,SMA,2020-2021 Ganjil,2,393,2020-07-01
Marpoyan Damai,SMA,2020-2021 Genap,3,1970,2021-01-01
Marpoyan Damai,SMA,2021-2022 Ganjil,4,393,2021-07-01
Marpoyan Damai,SMA,2021-2022 Genap,5,392,2022-01-01
Marpoyan Damai,SMA,2022-2023 Ganjil,6,301,2022-07-01
Marpoyan Damai,SMA,2022-2023 Genap,7,384,2023-01-01
Marpoyan Damai,SMA,2023-2024 Ganjil,8,344,2023-07-01
Marpoyan Damai,SMA,2023-2024 Genap,9,289,2024-01-01
Marpoyan Damai,SMA,2024-2025 Ganjil,10,409,2024-07-01
Marpoyan Damai,SMA,2024-2025 Genap,11,405,2025-01-01
Marpoyan Damai,SMA,2025-2026 Ganjil,12,532,2025-07-01
Marpoyan Damai,SMA,2025-2026 Genap,13,552,2026-01-01
Payung Sekaki,SMA,2019-2020 Ganjil,0,2847,2019-07-01
Payung Sekaki,SMA,2019-2020 Genap,1,2843,2020-01-01
Payung Sekaki,SMA,2020-2021 Ganjil,2,2899,2020-07-01
Payung Sekaki,SMA,2020-2021 Genap,3,1883,2021-01-01
Payung Sekaki,SMA,2021-2022 Ganjil,4,2906,2021-07-01
Payung Sekaki,SMA,2021-2022 Genap,5,2918,2022-01-01
Payung Sekaki,SMA,2022-2023 Ganjil,6,1978,2022-07-01
Payung Sekaki,SMA,2022-2023 Genap,7,1989,2023-01-01
Payung Sekaki,SMA,2023-2024 Ganjil,8,2159,2023-07-01
Payung Sekaki,SMA,2023-2024 Genap,9,2178,2024-01-01
Payung Sekaki,SMA,2024-2025 Ganjil,10,2427,2024-07-01
Payung Sekaki,SMA,2024-2025 Genap,11,2412,2025-01-01
Payung Sekaki,SMA,2025-2026 Ganjil,12,2528,2025-07-01
Payung Sekaki,SMA,2025-2026 Genap,13,2521,2026-01-01
Pekanbaru Kota,SMA,2019-2020 Ganjil,0,36,2019-07-01
Pekanbaru Kota,SMA,2019-2020 Genap,1,34,2020-01-01
Pekanbaru Kota,SMA,2020-2021 Ganjil,2,25,2020-07-01
Pekanbaru Kota,SMA,2020-2021 Genap,3,17,2021-01-01
Pekanbaru Kota,SMA,2021-2022 Ganjil,4,22,2021-07-01
Pekanbaru Kota,SMA,2021-2022 Genap,5,24,2022-01-01
Pekanbaru Kota,SMA,2022-2023 Genap,7,10,2023-01-01
Pekanbaru Kota,SMA,2023-2024 Ganjil,8,4,2023-07-01
Rumbai,SMA,2019-2020 Ganjil,0,1413,2019-07-01
Rumbai,SMA,2019-2020 Genap,1,1415,2020-01-01
Rumbai,SMA,2020-2021 Ganjil,2,1560,2020-07-01
Rumbai,SMA,2020-2021 Genap,3,1843,2021-01-01
Rumbai,SMA,2021-2022 Ganjil,4,1559,2021-07-01
Rumbai,SMA,2021-2022 Genap,5,1552,2022-01-01
Rumbai,SMA,2022-2023 Ganjil,6,531,2022-07-01
Rumbai,SMA,2022-2023 Genap,7,560,2023-01-01
Rumbai,SMA,2023-2024 Ganjil,8,574,2023-07-01
Rumbai,SMA,2023-2024 Genap,9,1564,2024-01-01
Rumbai,SMA,2024-2025 Ganjil,10,1694,2024-07-01
Rumbai,SMA,2024-2025 Genap,11,1687,2025-01-01
Rumbai,SMA,2025-2026 Ganjil,12,1703,2025-07-01
Rumbai,SMA,2025-2026 Genap,13,1700,2026-01-01
Rumbai Timur,SMA,2019-2020 Ganjil,0,545,2019-07-01
Rumbai Timur,SMA,2019-2020 Genap,1,544,2020-01-01
Rumbai Timur,SMA,2020-2021 Ganjil,2,516,2020-07-01
Rumbai Timur,SMA,2020-2021 Genap,3,328,2021-01-01
