Kecamatan,BP,Periode,Periode_Idx,PD_Total,Tanggal
Binawidya,SMK,2019-2020 Ganjil,0,4167,2019-07-01
Binawidya,SMK,2019-2020 Genap,1,4158,2020-01-01
Binawidya,SMK,2020-2021 Ganjil,2,4543,2020-07-01
Binawidya,SMK,2020-2021 Genap,3,3138,2021-01-01
Binawidya,SMK,2021-2022 Ganjil,4,4821,2021-07-01
Binawidya,SMK,2021-2022 Genap,5,4776,2022-01-01
Binawidya,SMK,2022-2023 Ganjil,6,7251,2022-07-01
Binawidya,SMK,2022-2023 Genap,7,7134,2023-01-01
Binawidya,SMK,2023-2024 Ganjil,8,7438,2023-07-01
Binawidya,SMK,2023-2024 Genap,9,5104,2024-01-01
Binawidya,SMK,2024-2025 Ganjil,10,4953,2024-07-01
Binawidya,SMK,2024-2025 Genap,11,4814,2025-01-01
Binawidya,SMK,2025-2026 Ganjil,12,4627,2025-07-01
Binawidya,SMK,2025-2026 Genap,13,4494,2026-01-01
Bukit Raya,SMK,2019-2020 Ganjil,0,1510,2019-07-01
Bukit Raya,SMK,2019-2020 Genap,1,1497,2020-01-01
Bukit Raya,SMK,2020-2021 Ganjil,2,1585,2020-07-01
Bukit Raya,SMK,2020-2021 Genap,3,1111,2021-01-01
Bukit Raya,SMK,2021-2022 Ganjil,4,1614,2021-07-01
Bukit Raya,SMK,2021-2022 Genap,5,1607,2022-01-01
Bukit Raya,SMK,2022-2023 Ganjil,6,1405,2022-07-01
Bukit Raya,SMK,2022-2023 Genap,7,1393,2023-01-01
Bukit Raya,SMK,2023-2024 Ganjil,8,1305,2023-07-01
Bukit Raya,SMK,2023-2024 Genap,9,1420,2024-01-01
Bukit Raya,SMK,2024-2025 Ganjil,10,1432,2024-07-01
Bukit Raya,SMK,2024-2025 Genap,11,1375,2025-01-01
Bukit Raya,SMK,2025-2026 Ganjil,12,1459,2025-07-01
Bukit Raya,SMK,2025-2026 Genap,13,1419,2026-01-01
Lima Puluh,SMK,2019-2020 Ganjil,0,1,2019-07-01
