Kecamatan,BP,Periode,Periode_Idx,PD_Total,Tanggal
Binawidya,SMP,2019-2020 Ganjil,0,2428,2019-07-01
Binawidya,SMP,2019-2020 Genap,1,3384,2020-01-01
Binawidya,SMP,2020-2021 Ganjil,2,2615,2020-07-01
Binawidya,SMP,2020-2021 Genap,3,2861,2021-01-01
Binawidya,SMP,2021-2022 Ganjil,4,3526,2021-07-01
Binawidya,SMP,2021-2022 Genap,5,3504,2022-01-01
Binawidya,SMP,2022-2023 Ganjil,6,6982,2022-07-01
Binawidya,SMP,2022-2023 Genap,7,7030,2023-01-01
Binawidya,SMP,2023-2024 Ganjil,8,3441,2023-07-01
Binawidya,SMP,2023-2024 Genap,9,3447,2024-01-01
Binawidya,SMP,2024-2025 Ganjil,10,4496,2024-07-01
Binawidya,SMP,2024-2025 Genap,11,4421,2025-01-01
Binawidya,SMP,2025-2026 Ganjil,12,5672,2025-07-01
Binawidya,SMP,2025-2026 Genap,13,5645,2026-01-01
Bukit Raya,SMP,2019-2020 Ganjil,0,2706,2019-07-01
Bukit Raya,SMP,2019-2020 Genap,1,2707,2020-01-01
Bukit Raya,SMP,2020-2021 Ganjil,2,2702,2020-07-01
Bukit Raya,SMP,2020-2021 Genap,3,2009,2021-01-01
Bukit Raya,SMP,2021-2022 Ganjil,4,3009,2021-07-01
Bukit Raya,SMP,2021-2022 Genap,5,2881,2022-01-01
Bukit Raya,SMP,2022-2023 Ganjil,6,3061,2022-07-01
Bukit Raya,SMP,2022-2023 Genap,7,3014,2023-01-01
Bukit Raya,SMP,2023-2024 Ganjil,8,3021,2023-07-01
Bukit Raya,SMP,2023-2024 Genap,9,3008,2024-01-01
Bukit Raya,SMP,2024-2025 Ganjil,10,2986,2024-07-01
Bukit Raya,SMP,2024-2025 Genap,11,2998,2025-01-01
Bukit Raya,SMP,2025-2026 Ganjil,12,3081,2025-07-01
Bukit Raya,SMP,2025-2026 Genap,13,3060,2026-01-01
Kulim,SMP,2019-2020 Ganjil,0,750,2019-07-01
Kulim,SMP,2019-2020 Genap,1,741,2020-01-01
Kulim,SMP,2020-2021 Ganjil,2,760,2020-07-01
Kulim,SMP,2020-2021 Genap,3,510,2021-01-01
Kulim,SMP,2021-2022 Ganjil,4,735,2021-07-01
Kulim,SMP,2021-2022 Genap,5,670,2022-01-01
Kulim,SMP,2023-2024 Ganjil,8,154,2023-07-01
Kulim,SMP,2023-2024 Genap,9,160,2024-01-01
Kulim,SMP,2024-2025 Ganjil,10,806,2024-07-01
Kulim,SMP,2024-2025 Genap,11,788,2025-01-01
Kulim,SMP,2025-2026 Ganjil,12,936,2025-07-01
Kulim,SMP,2025-2026 Genap,13,931,2026-01-01
Lima Puluh,SMP,2019-2020 Ganjil,0,4142,2019-07-01
Lima Puluh,SMP,2019-2020 Genap,1,4133,2020-01-01
Lima Puluh,SMP,2020-2021 Ganjil,2,4043,2020-07-01
Lima Puluh,SMP,2020-2021 Genap,3,3478,2021-01-01
Lima Puluh,SMP,2021-2022 Ganjil,4,4102,2021-07-01
Lima Puluh,SMP,2021-2022 Genap,5,4090,2022-01-01
Lima Puluh,SMP,2022-2023 Ganjil,6,4136,2022-07-01
Lima Puluh,SMP,2022-2023 Genap,7,4128,2023-01-01
Lima Puluh,SMP,2023-2024 Ganjil,8,4079,2023-07-01
Lima Puluh,SMP,2023-2024 Genap,9,4068,2024-01-01
Lima Puluh,SMP,2024-2025 Ganjil,10,3923,2024-07-01
Lima Puluh,SMP,2024-2025 Genap,11,3886,2025-01-01
Lima Puluh,SMP,2025-2026 Ganjil,12,3902,2025-07-01
Lima Puluh,SMP,2025-2026 Genap,13,3896,2026-01-01
Marpoyan Damai,SMP,2019-2020 Ganjil,0,3293,2019-07-01
Marpoyan Damai,SMP,2019-2020 Genap,1,3288,2020-01-01
Marpoyan Damai,SMP,2020-2021 Ganjil,2,4315,2020-07-01
Marpoyan Damai,SMP,2020-2021 Genap,3,4286,2021-01-01
Marpoyan Damai,SMP,2021-2022 Ganjil,4,4269,2021-07-01
Marpoyan Damai,SMP,2021-2022 Genap,5,4187,2022-01-01
Marpoyan Damai,SMP,2022-2023 Ganjil,6,4879,2022-07-01
Marpoyan Damai,SMP,2022-2023 Genap,7,4871,2023-01-01
Marpoyan Damai,SMP,2023-2024 Ganjil,8,5004,2023-07-01
