Kecamatan,Periode_Idx,Step,Tanggal,PD_Prediksi,Total_Gizi_Kkal,Target_Beras,Target_Daging,Target_Telur,Target_Susu,Target_Sayur,Target_Minyak,Target_Ikan,Target_Buah,Biaya_Harian_IDR,Biaya_Semester_IDR,Jenjang
Binawidya,14,1,2027-07-01,9304,4605480.0,1417.0708,221.063,237.7022,377.4984,921.096,52.0982,460.548,736.8768,111284559.19999999,13354147103.999998,SD
Binawidya,15,2,2027-01-01,9710,4806450.0,1478.9077,230.7096,248.0748,393.9713,961.29,54.3716,480.645,769.032,116140701.7,13936884204.0,SD
Binawidya,16,3,2028-07-01,10072,4985640.0,1534.0431,239.3107,257.3234,408.659,997.128,56.3986,498.564,797.7024,120470560.5,14456467260.0,SD
Binawidya,17,4,2028-01-01,10341,5118795.0,1575.0138,245.7022,264.1959,419.5734,1023.759,57.9049,511.8795,819.0072,123688059.9,14842567188.0,SD
Binawidya,18,5,2029-07-01,10557,5225715.0,1607.9123,250.8343,269.7143,428.3373,1045.143,59.1144,522.5715,836.1144,126271613.60000001,15152593632.000002,SD
Binawidya,19,6,2029-01-01,10717,5304915.0,1632.2815,254.6359,273.8021,434.8291,1060.983,60.0104,530.4915,848.7864,128185366.0,15382243920.0,SD
Bukit Raya,14,1,2027-07-01,10289,5093055.0,1567.0938,244.4666,262.8674,417.4635,1018.611,57.6137,509.3055,814.8888,123066080.3,14767929636.0,SD
Bukit Raya,15,2,2027-01-01,10689,5291055.0,1628.0169,253.9706,273.0867,433.693,1058.211,59.8536,529.1055,846.5688,127850455.39999999,15342054647.999998,SD
Bukit Raya,16,3,2028-07-01,11295,5591025.0,1720.3154,268.3692,288.569,458.2807,1118.205,63.2469,559.1025,894.564,135098787.7,16211854523.999998,SD
Bukit Raya,17,4,2028-01-01,11706,5794470.0,1782.9138,278.1346,299.0694,474.9566,1158.894,65.5483,579.447,927.1152,140014738.60000002,16801768632.000004,SD
Bukit Raya,18,5,2029-07-01,11981,5930595.0,1824.7985,284.6686,306.0952,486.1143,1186.119,67.0882,593.0595,948.8952,143303996.2,17196479544.0,SD
Bukit Raya,19,6,2029-01-01,12126,6002370.0,1846.8831,288.1138,309.7997,491.9975,1200.474,67.9001,600.237,960.3792,145038330.89999998,17404599707.999996,SD
Kulim,14,1,2027-07-01,6000,2970000.0,913.8462,142.56,153.2903,243.4426,594.0,33.5973,297.0,475.2,71765624.8,8611874976.0,SD
Kulim,15,2,2027-01-01,6429,3182355.0,979.1862,152.753,164.2506,260.8488,636.471,35.9995,318.2355,509.1768,76896864.3,9227623716.0,SD
Kulim,16,3,2028-07-01,7202,3564990.0,1096.92,171.1195,183.9995,292.2123,712.998,40.3279,356.499,570.3984,86142669.2,10337120304.0,SD
Kulim,17,4,2028-01-01,7745,3833775.0,1179.6231,184.0212,197.8723,314.2439,766.755,43.3685,383.3775,613.404,92637463.4,11116495608.0,SD
Kulim,18,5,2029-07-01,8389,4152555.0,1277.7092,199.3226,214.3254,340.3734,830.511,46.9746,415.2555,664.4088,100340299.5,12040835940.0,SD
Kulim,19,6,2029-01-01,8936,4423320.0,1361.0215,212.3194,228.3004,362.5672,884.664,50.0376,442.332,707.7312,106882942.5,12825953100.0,SD
Lima Puluh,14,1,2027-07-01,4744,2348280.0,722.5477,112.7174,121.2015,192.482,469.656,26.5643,234.828,375.7248,56742682.9,6809121948.0,SD
Lima Puluh,15,2,2027-01-01,4456,2205720.0,678.6831,105.8746,113.8436,180.7967,441.144,24.9516,220.572,352.9152,53297942.099999994,6395753051.999999,SD
Lima Puluh,16,3,2028-07-01,4028,1993860.0,613.4954,95.7053,102.9089,163.4311,398.772,22.555,199.386,319.0176,48178658.2,5781438984.0,SD
Lima Puluh,17,4,2028-01-01,3696,1829520.0,562.9292,87.817,94.4268,149.9607,365.904,20.6959,182.952,292.7232,44207628.599999994,5304915431.999999,SD
Lima Puluh,18,5,2029-07-01,3309,1637955.0,503.9862,78.6218,84.5396,134.2586,327.591,18.5289,163.7955,262.0728,39578737.5,4749448500.0,SD
Lima Puluh,19,6,2029-01-01,2954,1462230.0,449.9169,70.187,75.4699,119.8549,292.446,16.5411,146.223,233.9568,35332603.5,4239912420.0,SD
Marpoyan Damai,14,1,2027-07-01,13600,6732000.0,2071.3846,323.136,347.4581,551.8033,1346.4,76.1538,673.2,1077.12,162668750.2,19520250024.0,SD
Marpoyan Damai,15,2,2027-01-01,13040,6454800.0,1986.0923,309.8304,333.151,529.082,1290.96,73.0181,645.48,1032.768,155970626.3,18716475156.0,SD
Marpoyan Damai,16,3,2028-07-01,12568,6221160.0,1914.2031,298.6157,321.0921,509.9311,1244.232,70.3751,622.116,995.3856,150325063.1,18039007572.0,SD
Marpoyan Damai,17,4,2028-01-01,12206,6041970.0,1859.0677,290.0146,311.8436,495.2434,1208.394,68.3481,604.197,966.7152,145995207.1,17519424852.0,SD
Marpoyan Damai,18,5,2029-07-01,11907,5893965.0,1813.5277,282.9103,304.2046,483.1119,1178.793,66.6738,589.3965,943.0344,142418879.2,17090265503.999998,SD
Marpoyan Damai,19,6,2029-01-01,11667,5775165.0,1776.9738,277.2079,298.073,473.3742,1155.033,65.3299,577.5165,924.0264,139548253.7,16745790443.999998,SD
Payung Sekaki,14,1,2027-07-01,8105,4011975.0,1234.4538,192.5748,207.0697,328.8504,802.395,45.3843,401.1975,641.916,96943397.5,11633207700.0,SD
Payung Sekaki,15,2,2027-01-01,8354,4135230.0,1272.3785,198.491,213.4312,338.9533,827.046,46.7786,413.523,661.6368,99921666.89999999,11990600027.999998,SD
Payung Sekaki,16,3,2028-07-01,8601,4257495.0,1309.9985,204.3598,219.7417,348.975,851.499,48.1617,425.7495,681.1992,102876029.19999999,12345123503.999998,SD
Payung Sekaki,17,4,2028-01-01,8787,4349565.0,1338.3277,208.7791,224.4937,356.5217,869.913,49.2032,434.9565,695.9304,105100755.19999999,12612090623.999998,SD
Payung Sekaki,18,5,2029-07-01,8943,4426785.0,1362.0877,212.4857,228.4792,362.8512,885.357,50.0768,442.6785,708.2856,106966666.0,12835999920.0,SD
Payung Sekaki,19,6,2029-01-01,9074,4491630.0,1382.04,215.5982,231.8261,368.1664,898.326,50.8103,449.163,718.6608,108533543.2,13024025184.0,SD
Pekanbaru Kota,14,1,2027-07-01,1738,860310.0,264.7108,41.2949,44.4031,70.5172,172.062,9.732,86.031,137.6496,20788111.8,2494573416.0,SD
Pekanbaru Kota,15,2,2027-01-01,1840,910800.0,280.2462,43.7184,47.009,74.6557,182.16,10.3032,91.08,145.728,22008124.6,2640974952.0,SD
Pekanbaru Kota,16,3,2028-07-01,1966,973170.0,299.4369,46.7122,50.2281,79.768,194.634,11.0087,97.317,155.7072,23515205.9,2821824708.0,SD
Pekanbaru Kota,17,4,2028-01-01,2054,1016730.0,312.84,48.803,52.4764,83.3385,203.346,11.5015,101.673,162.6768,24567761.2,2948131344.0,SD
Pekanbaru Kota,18,5,2029-07-01,2134,1056330.0,325.0246,50.7038,54.5203,86.5844,211.266,11.9494,105.633,169.0128,25524635.599999998,3062956271.9999995,SD
Pekanbaru Kota,19,6,2029-01-01,2198,1088010.0,334.7723,52.2245,56.1554,89.1811,217.602,12.3078,108.801,174.0816,26290143.099999998,3154817171.9999995,SD
Rumbai,14,1,2027-07-01,9355,4630725.0,1424.8385,222.2748,239.0052,379.5676,926.145,52.3838,463.0725,740.916,111894572.0,13427348640.0,SD
Rumbai,15,2,2027-01-01,9569,4736655.0,1457.4323,227.3594,244.4725,388.2504,947.331,53.5821,473.6655,757.8648,114454205.8,13734504696.0,SD
Rumbai,16,3,2028-07-01,9790,4846050.0,1491.0923,232.6104,250.1187,397.2172,969.21,54.8196,484.605,775.368,117097577.89999999,14051709347.999998,SD
Rumbai,17,4,2028-01-01,9981,4940595.0,1520.1831,237.1486,254.9985,404.9668,988.119,55.8891,494.0595,790.4952,119382123.8,14325854856.0,SD
Rumbai,18,5,2029-07-01,10156,5027220.0,1546.8369,241.3066,259.4694,412.0672,1005.444,56.869,502.722,804.3552,121475284.7,14577034164.0,SD
Rumbai,19,6,2029-01-01,10315,5105925.0,1571.0538,245.0844,263.5316,418.5184,1021.185,57.7593,510.5925,816.948,123377067.7,14805248124.0,SD
Rumbai Barat,14,1,2027-07-01,2698,1335510.0,410.9262,64.1045,68.9295,109.468,267.102,15.1076,133.551,213.6816,32270610.8,3872473296.0,SD
Rumbai Barat,15,2,2027-01-01,2266,1121670.0,345.1292,53.8402,57.8926,91.9402,224.334,12.6886,112.167,179.4672,27103488.6,3252418632.0,SD
Rumbai Barat,16,3,2028-07-01,1726,854370.0,262.8831,41.0098,44.0965,70.0303,170.874,9.6648,85.437,136.6992,20644581.9,2477349828.0,SD
Rumbai Barat,17,4,2028-01-01,1373,679635.0,209.1185,32.6225,35.0779,55.7078,135.927,7.6882,67.9635,108.7416,16422369.799999999,1970684375.9999998,SD
